label_id,way_type,intersection_distance
166,-1,-1.0
167,-1,-1.0
168,-1,-1.0
169,-1,-1.0
170,-1,-1.0
171,-1,-1.0
172,-1,-1.0
173,-1,-1.0
174,-1,-1.0
175,-1,-1.0
176,-1,-1.0
177,-1,-1.0
178,-1,-1.0
179,-1,-1.0
180,-1,-1.0
181,-1,-1.0
182,-1,-1.0
183,-1,-1.0
184,-1,-1.0
185,-1,-1.0
186,-1,-1.0
187,-1,-1.0
188,-1,-1.0
189,-1,-1.0
190,-1,-1.0
191,-1,-1.0
192,-1,-1.0
193,-1,-1.0
194,-1,-1.0
195,-1,-1.0
196,-1,-1.0
197,-1,-1.0
198,-1,-1.0
199,-1,-1.0
200,-1,-1.0
201,-1,-1.0
202,-1,-1.0
203,-1,-1.0
204,-1,-1.0
205,-1,-1.0
206,-1,-1.0
207,-1,-1.0
208,-1,-1.0
209,-1,-1.0
210,-1,-1.0
211,-1,-1.0
212,-1,-1.0
213,-1,-1.0
214,-1,-1.0
215,-1,-1.0
216,-1,-1.0
217,residential,54.23004172734162
218,residential,39.85080724028981
219,-1,-1.0
220,-1,-1.0
221,-1,-1.0
222,-1,-1.0
224,-1,-1.0
225,-1,-1.0
226,-1,-1.0
227,-1,-1.0
228,-1,-1.0
229,-1,-1.0
230,-1,-1.0
231,-1,-1.0
232,-1,-1.0
233,-1,-1.0
234,-1,-1.0
235,-1,-1.0
236,-1,-1.0
237,-1,-1.0
238,-1,-1.0
239,residential,92.13812000983921
240,residential,106.29042448031355
241,-1,-1.0
242,-1,-1.0
243,-1,-1.0
244,-1,-1.0
245,-1,-1.0
246,-1,-1.0
247,tertiary,39.35097087997477
248,tertiary,44.75638513779332
249,tertiary,45.77801686964738
250,tertiary,47.82904923351324
251,tertiary,33.49332240235803
252,tertiary,37.88274592408034
253,-1,-1.0
254,-1,-1.0
255,-1,-1.0
256,-1,-1.0
257,-1,-1.0
258,-1,-1.0
259,-1,-1.0
260,-1,-1.0
261,-1,-1.0
262,-1,-1.0
263,-1,-1.0
264,-1,-1.0
265,-1,-1.0
266,-1,-1.0
267,-1,-1.0
268,-1,-1.0
269,-1,-1.0
270,-1,-1.0
271,-1,-1.0
272,-1,-1.0
273,-1,-1.0
274,-1,-1.0
275,-1,-1.0
276,-1,-1.0
277,-1,-1.0
278,-1,-1.0
279,residential,37.80212613139188
280,residential,46.15716250299441
281,residential,31.824025941060373
282,residential,42.70732383131537
283,residential,43.97379223837405
284,residential,53.78366849719651
285,residential,50.05099736709022
286,residential,51.726629878459214
287,residential,50.362829888476796
288,residential,36.25465179093207
289,residential,30.532548710374993
290,residential,35.71520487730317
291,residential,58.048124365196834
292,residential,54.52349519244624
293,residential,46.408351305184105
294,residential,29.736442436564506
295,-1,-1.0
296,-1,-1.0
297,-1,-1.0
301,-1,-1.0
302,-1,-1.0
303,-1,-1.0
304,-1,-1.0
305,-1,-1.0
306,-1,-1.0
307,-1,-1.0
308,-1,-1.0
309,-1,-1.0
310,-1,-1.0
311,-1,-1.0
312,-1,-1.0
313,-1,-1.0
314,-1,-1.0
315,-1,-1.0
316,-1,-1.0
317,-1,-1.0
