label_id,way_type,distance_to_road
13125,primary,9.980148603840323
13126,primary,9.546076923197319
13127,primary,22.181840557907243
13128,primary,22.92734741927264
13129,primary,11.626093704306568
13130,primary,24.682312664894656
13131,primary,8.70420112124731
13132,primary,23.476086794932957
13133,primary,10.85534981392817
13134,primary,8.630964779834583
13135,primary,21.725147499704363
13136,primary,10.261499231758519
13137,primary,17.513125963627502
13138,primary,38.231926409008366
13139,primary,21.06667144137979
13140,primary,12.019130423119961
13141,primary,19.92955281162389
13142,primary,12.388160087084342
13143,primary,10.449120499239408
13144,primary,18.71655749995337
13145,primary,17.57103311764558
13146,primary,29.63591696495679
13147,primary,19.465837948782834
13171,primary,28.54643523958402
13172,primary,14.620934315397383
13376,primary,20.85639730717194
13377,primary,21.604650651167642
13378,primary,31.486405119406044
6921,primary,9.111121732084472
5585,residential,25.516369575310197
5586,residential,27.412571049441365
6914,residential,32.00507757210293
6918,residential,34.287993748732724
6920,residential,38.691898307663415
6922,residential,32.37039541301792
16604,residential,20.49511096637112
16606,residential,34.45341543671173
6919,residential,42.528315983042674
5587,residential,29.743699389285005
5588,residential,19.337896421052587
5590,residential,39.132030860305804
5591,residential,39.678586308032855
6912,residential,23.348182633031808
5589,residential,31.677028366902793
6913,residential,28.456167984474288
13169,residential,22.84667317153477
13170,residential,28.54399096671001
16634,residential,15.544718062776894
16637,residential,17.520023584673986
6525,residential,11.35124980547866
12893,residential,15.334657441459829
12894,residential,15.532714157613263
15695,residential,15.311921548927243
15694,residential,19.86807880904656
15892,residential,39.87173266014847
15893,residential,32.30656393401695
15894,residential,38.682713752679575
15895,residential,36.85579085416203
15896,residential,35.085693751490425
15897,residential,33.383789102874545
15898,residential,31.613701734355985
15900,residential,17.2865739682203
15889,residential,15.532714157613263
250,secondary,32.557195616794914
251,secondary,25.71088208862411
253,secondary,32.55549004614332
254,secondary,19.037235053719094
245,secondary,21.066025266237528
261,secondary,26.99419542160983
17783,secondary,24.292306296491024
17784,secondary,32.79569569826844
3674,secondary,31.166512555332016
3678,secondary,19.037235053719094
12103,secondary,28.488837039561705
12104,secondary,35.35092239324121
15188,secondary,23.92078781383998
15195,secondary,66.2216604569273
262,secondary,9.01355445481602
22,residential,17.679072129300017
17753,residential,21.40451009579199
12829,residential,17.658581967843542
23,residential,14.490866979344718
17754,residential,14.435628608442503
12879,residential,13.081720243684323
25,tertiary,14.894478175282451
18329,tertiary,26.295355141916055
18340,tertiary,12.3794333482997
18330,tertiary,31.59176372712064
