label_id,cluster_id,clustered,cluster_label_count
11538,153,0,1
2540,154,0,1
11532,155,0,1
7715,156,0,1
942,157,0,1
11426,158,0,1
2570,159,1,3
10403,159,1,3
11403,159,1,3
4697,162,0,1
909,163,1,2
8309,163,1,2
5165,165,0,1
11400,166,0,1
1743,167,0,1
6990,168,0,1
11355,169,0,1
4197,170,0,1
9566,171,0,1
5063,172,0,1
11334,173,0,1
5771,174,0,1
7989,175,0,1
10959,176,0,1
7618,177,0,1
10942,178,0,1
7621,179,0,1
10937,180,0,1
7933,181,0,1
10835,182,0,1
7575,183,0,1
10830,184,0,1
7449,185,0,1
10946,186,0,1
8026,187,0,1
10956,188,0,1
7461,189,0,1
10952,190,0,1
7925,191,0,1
10823,192,0,1
13,193,1,2
7152,193,1,2
10667,195,0,1
7935,196,0,1
10660,197,0,1
7667,198,1,2
10419,198,1,2
7048,200,0,1
8253,201,1,2
10289,201,1,2
1724,203,0,1
3757,204,0,1
5471,205,1,2
10370,205,1,2
9526,207,0,1
2992,208,1,2
10010,208,1,2
539,210,0,1
3111,211,1,2
10008,211,1,2
529,213,0,1
1966,214,0,1
2890,215,1,2
4921,215,1,2
10004,217,0,1
2173,218,0,1
2895,219,1,2
4925,219,1,2
10001,221,0,1
1952,222,1,2
9977,222,1,2
536,224,0,1
2183,225,1,2
9949,225,1,2
3869,227,0,1
9570,228,0,1
2184,229,0,1
9956,230,0,1
1950,231,0,1
6094,232,0,1
2145,233,1,2
9948,233,1,2
4223,235,0,1
9551,236,0,1
2129,237,1,2
9944,237,1,2
5890,239,0,1
9547,240,0,1
7930,241,0,1
9923,242,0,1
7988,243,0,1
9918,244,0,1
7986,245,0,1
9811,246,0,1
7642,247,0,1
9791,248,0,1
7992,249,0,1
9808,250,0,1
2125,251,1,2
9788,251,1,2
7560,253,0,1
7634,254,0,1
9785,255,0,1
8016,256,0,1
9782,257,0,1
1893,258,1,2
9737,258,1,2
7599,260,0,1
7916,261,0,1
9741,262,0,1
4219,263,1,2
8207,263,1,2
9556,265,0,1
4868,266,1,2
8267,266,1,2
9529,268,0,1
2120,269,1,2
9454,269,1,2
7595,271,0,1
6841,272,1,2
