label_id,way_type,distance_to_road
103,residential,21.38347117915395
104,residential,23.559320529592373
115,residential,28.111957547884224
116,residential,30.98336901876926
117,residential,42.24733787100172
118,residential,54.80828991309505
119,residential,36.21819789245524
120,residential,17.461309108466875
121,residential,45.57175450120588
122,residential,33.19855144311291
123,residential,60.655285621896084
124,residential,67.2668522058706
125,residential,28.36106663087493
126,residential,19.83911012110237
127,residential,28.304983633989526
128,residential,34.560985330986846
129,residential,17.068474888773796
130,residential,20.077073272817852
131,residential,22.94078421390702
132,residential,36.896434596391806
133,residential,31.13846647902805
134,residential,9.872345697805992
8064,residential,32.25600389078265
8062,residential,36.2140708520485
8063,residential,43.86483976376203
8065,residential,43.624285012370855
135,residential,7.347361650223479
145,residential,9.824630199543774
291,residential,26.912097786599627
283,residential,12.555503493560051
286,residential,9.292374677798025
292,residential,13.141797155464017
285,residential,21.466850288460336
284,residential,6.670787158087182
295,residential,32.720641193412455
296,residential,38.23720541848428
297,residential,38.98405296234502
301,residential,24.245382224818293
302,residential,20.62161113417257
303,residential,22.519762610306618
304,residential,23.468836850067632
305,residential,22.530673932123882
306,residential,30.69642624797416
307,residential,29.349018073562796
308,residential,21.93894687312616
309,residential,29.217989697928587
310,residential,27.206513704021024
311,residential,25.642183756190978
312,residential,30.744106051007176
313,residential,31.245396325080254
314,residential,25.19466880500797
315,residential,32.420723569702226
316,residential,27.34245303125829
317,residential,26.009510129580153
318,residential,31.145476040108505
319,residential,30.504242604963085
320,residential,35.61090093493716
321,residential,35.61086500070022
322,residential,38.674878547217396
323,residential,35.096605704016085
324,residential,36.45415682895168
325,residential,24.30198009501048
326,residential,24.637887468454522
327,residential,25.02415949940694
328,residential,30.661396839052134
329,residential,32.02865850140786
330,residential,35.37084881041059
333,residential,10.522557840143184
334,residential,30.441533270628167
335,residential,6.8183168467994255
6134,residential,31.067688175675396
6136,residential,16.91782053179398
6137,residential,8.45612306522825
6138,residential,27.953891537171078
6139,residential,41.73885622217814
6140,residential,38.9314266299082
6141,residential,27.86251822251908
12647,residential,10.353675112597875
12649,residential,30.609472057385887
12650,residential,25.02415949940694
12656,residential,27.034409886162784
12651,residential,24.10884257915707
12652,residential,32.88733793162391
12716,residential,22.994512911654827
12718,residential,4.598733422652226
12717,residential,12.192713288599114
136,residential,17.050152588676987
137,residential,1.6261802278613877
141,residential,32.829652214877015
142,residential,33.87617336445038
143,residential,36.06021854415755
146,residential,24.47955364649915
147,residential,30.522427250106446
148,residential,34.798918523467236
150,residential,24.459164810783076
149,residential,32.57895475068276
151,residential,27.067280375310574
152,residential,22.77031719212799
153,residential,29.2735934448516
154,residential,29.64130026367243
332,residential,17.976285438076534
336,residential,18.35080610178059
337,residential,3.1107029459311297
338,residential,24.754629321973326
6143,residential,18.7185472141098
6144,residential,32.38147530394074
6145,residential,29.2735934448516
12315,residential,31.487374831061704
12648,residential,21.878246366367016
138,residential,14.199320124116536
139,residential,21.374182471914104
140,residential,27.27514469586712
144,residential,39.15658676592391
331,residential,15.57170354228875
339,residential,28.113401790550075
341,residential,12.826933614945311
349,residential,16.1420211696142
350,residential,35.55641708216075
362,residential,27.999751740115617
364,residential,25.39091774027452
365,residential,16.755501178575308
342,residential,22.046551926468894
348,residential,18.24215648552622
352,residential,15.95824161331508
354,residential,28.467575757029554
367,residential,8.671519759973604
368,residential,21.648586951793963
343,residential,25.83189778212318
344,residential,21.60403649198934
357,residential,35.08230167097376
345,residential,22.22108298423825
358,residential,28.507019876947727
363,residential,35.438258568110534
346,residential,22.699783501966163
353,residential,21.123779289111386
347,residential,20.12095035354798
351,residential,35.91258935111838
355,residential,26.458088263662248
356,residential,33.5801812313462
359,residential,31.51795778172835
360,residential,35.35245667187228
361,residential,28.184201014081168
5679,residential,7.531649988282171
5680,residential,20.186002805409842
6142,residential,16.2164244269365
9032,residential,33.832822789254514
10013,residential,36.53203885846707
10015,residential,35.39215725638558
10016,residential,36.762537308173755
10017,residential,25.16675754444012
10018,residential,23.11117916919275
10019,residential,32.15061261383843
10020,residential,30.556090962813222
10021,residential,32.75000995455513
10022,residential,25.535641368160604
10023,residential,18.182933096459468
10024,residential,24.073023969056845
10025,residential,24.516765565940155
10026,residential,23.83157388378127
12307,residential,17.282523852821168
12308,residential,40.18005537177068
12309,residential,24.016869991141625
12310,residential,38.733060869156624
12311,residential,21.318879193110373
12312,residential,24.799924257207024
12314,residential,14.788741014355903
12316,residential,41.818409550568326
12637,residential,14.014739448302954
12639,residential,24.844028701128174
12642,residential,33.38909340130972
12643,residential,33.48132032397196
