label_id,street_edge_id
266,108648
275,158194
10616,162665
338,117606
280,247677
281,247677
282,316959
285,112618
287,112618
374,172033
288,172045
289,172045
290,112619
291,112619
292,112619
293,112619
294,112619
295,112619
296,258025
297,258025
299,258027
300,218541
377,172033
301,218541
302,218541
303,218541
283,316959
10048,95760
278,247681
276,158194
298,258026
10166,147532
286,112618
385,172036
387,123748
392,172036
304,331320
305,331320
306,331320
307,331320
308,331320
309,218543
401,172046
310,218544
420,149899
311,218544
312,218544
313,133482
432,258024
441,317733
445,108647
452,331320
453,331320
584,194652
455,331320
456,96636
587,144822
457,241616
468,247685
475,315902
594,302442
483,156503
10935,104015
414,218553
599,144825
511,156499
512,156499
516,258890
519,302444
521,156501
523,156502
600,302442
507,127297
10943,104014
10944,104014
10924,247315
10952,114638
26758,331320
10942,104014
10938,104014
10929,172095
539,142130
552,142130
557,221236
564,142131
601,144825
608,240833
611,221235
613,221235
626,156502
628,156502
634,302443
636,156504
10930,172095
642,156504
647,240826
653,240826
655,144864
658,240833
661,221235
663,144825
667,302444
10936,104015
677,174312
680,174312
684,174312
694,174312
10932,172095
715,174307
710,174307
724,98475
736,98479
747,267493
10949,104014
10954,114632
721,98475
732,98479
605,144825
662,221235
681,174312
739,98479
743,98476
604,144825
690,174312
10945,104014
10925,172095
537,142130
26760,331320
26762,331320
748,177841
749,177841
755,219208
756,177852
762,278793
1127,143467
1128,143467
1129,143467
1130,143467
1132,143467
1133,143467
1134,143467
1135,143467
1136,143467
1137,143467
1139,143467
1140,143467
1141,143467
1142,143467
1144,143467
1146,143467
1147,143467
1148,143467
1149,143467
1152,143467
1153,112888
1154,239755
10928,247316
1158,170772
1159,238321
1162,162287
1164,162284
1165,162284
1151,143467
1171,238282
10933,172095
10934,104014
26761,331320
26763,331320
1163,162284
10950,104014
1161,162287
1166,162284
1167,238323
1160,170771
10926,172095
1126,143467
1145,143467
1138,143467
1173,166363
1174,166494
1175,166363
1176,166495
1177,166495
1178,166364
1181,166364
1183,166364
1184,292155
1185,292155
1186,292155
1187,292154
1188,292154
1189,292154
1190,131934
1191,131934
1192,292160
1193,131934
1194,131934
1195,131934
1196,117369
1197,131935
1198,117369
1199,117369
1206,133570
1207,117368
1208,117368
1209,133569
1215,112887
1213,117368
1214,112887
1217,117367
1218,112885
1219,117367
1220,117367
1221,117367
1222,171975
1223,117367
1216,117367
1179,166364
26764,331320
1210,133569
1180,166494
10927,172095
1203,133569
1200,131934
10931,172095
1182,292154
1224,171964
1225,171964
1227,171975
1228,171340
1229,171340
1230,136291
1233,136290
10939,104014
1244,111995
1236,111995
1238,111995
1239,111995
1242,111995
1281,239833
1248,162663
1249,162663
1250,162661
1251,162661
1252,162661
1253,162661
1254,236339
1255,239832
1257,236339
1258,162665
1259,162665
1263,162665
1235,111995
1262,162665
1264,162665
1265,144714
1266,162665
1268,171367
1269,171367
1270,144714
1272,171368
1273,171368
1274,171367
1275,239833
10946,104014
10948,104014
26765,331320
10956,104014
1256,239832
1231,136291
1267,144714
10941,104014
1246,162661
1232,136291
1226,171340
1276,171367
1277,239832
1278,239832
1280,171356
1283,111996
1284,171356
1286,111997
1287,111997
1288,171356
1289,111996
1290,115896
1291,115896
1292,111996
1294,115895
1295,115895
1296,115895
1297,115895
1298,115895
1299,131509
1300,131509
1302,131510
1303,131510
1305,131509
1306,131509
1307,115894
1310,108875
1311,115898
1312,115898
1315,115898
10951,104014
1322,269483
1333,269484
1339,156097
1343,159934
1316,115898
1317,115898
1329,331003
1337,269474
10953,104014
1279,171356
1304,115894
1320,115898
1282,171356
1301,131510
1308,115894
1314,115898
26766,190532
1293,115895
1342,159934
1319,269489
1323,269483
1324,269483
