label_id,cluster_id,clustered,cluster_label_count
256,120327,1,3
257,116186,0,1
258,119596,0,1
259,117344,1,2
260,119484,0,1
261,122721,1,3
262,113792,1,2
263,111596,1,2
264,100768,0,1
265,102179,0,1
266,98893,1,4
267,107606,1,4
268,91155,0,1
269,100757,1,2
270,93686,1,4
271,98706,1,4
272,91529,1,2
273,92079,0,1
274,92112,0,1
275,103124,0,1
276,105812,0,1
277,106333,0,1
278,120629,0,1
279,91168,0,1
280,129198,0,1
281,144744,0,1
282,92058,0,1
283,135041,0,1
284,88625,0,1
285,99543,0,1
286,90084,0,1
287,102280,0,1
288,124565,0,1
289,90333,0,1
290,94122,0,1
291,134770,0,1
292,131592,0,1
293,137470,0,1
294,135523,0,1
295,130403,0,1
296,92149,1,3
297,94184,0,1
298,138655,0,1
299,98153,0,1
300,94523,0,1
301,98142,1,3
302,130393,0,1
303,141246,1,2
304,143776,0,1
305,119854,0,1
306,116410,1,2
307,109890,0,1
308,111101,0,1
309,111151,0,1
310,122077,1,2
311,125688,0,1
312,121070,0,1
313,126455,0,1
314,121058,0,1
315,125352,0,1
316,127510,0,1
317,122854,0,1
318,120912,0,1
319,125917,0,1
320,125933,0,1
321,121771,0,1
322,121044,0,1
323,128446,0,1
325,122222,0,1
326,128538,0,1
327,104073,1,2
328,87862,0,1
329,90221,1,2
330,98097,1,2
331,99301,1,2
332,97763,0,1
333,90443,0,1
334,103826,0,1
335,98850,0,1
336,91202,1,2
337,87809,0,1
338,91216,1,3
339,93569,0,1
340,87770,0,1
341,89733,1,2
342,87784,0,1
343,95662,0,1
344,89530,0,1
345,93523,0,1
346,96480,0,1
347,97891,1,2
348,89962,0,1
349,96016,0,1
350,97875,0,1
351,98939,1,2
352,115900,0,1
353,90728,1,2
354,103097,0,1
355,112375,0,1
356,89021,1,2
357,101263,0,1
358,97488,1,3
359,98840,1,2
360,100742,1,3
361,96215,1,2
362,95195,1,3
363,97464,0,1
364,93925,0,1
365,91191,0,1
366,98287,1,2
367,116143,1,2
368,114390,1,3
369,111619,1,2
370,111550,0,1
371,112224,1,2
372,115958,1,3
373,114405,1,3
374,113235,1,3
375,63059,1,3
376,59625,1,2
377,65884,1,3
378,57738,1,3
379,58188,0,1
380,57206,1,2
381,57192,1,4
382,81606,0,1
383,81754,0,1
384,59282,1,2
385,57782,1,2
386,57809,1,2
387,57796,1,2
388,65368,1,3
389,66089,0,1
390,82091,0,1
391,83737,0,1
392,83174,0,1
393,57723,1,3
394,57288,0,1
395,81985,0,1
396,65899,0,1
397,60003,0,1
398,63199,0,1
399,62056,1,2
400,62779,1,2
401,66686,0,1
402,66176,0,1
403,59503,0,1
404,64193,1,3
405,57259,1,3
406,84745,0,1
407,84912,0,1
408,60955,1,3
409,60411,1,2
410,84716,0,1
411,71208,0,1
412,67656,1,2
413,69334,1,3
414,67057,0,1
415,67545,0,1
416,67535,1,2
417,84025,0,1
418,83597,0,1
419,83986,0,1
420,83224,0,1
